Identifiant du compteur,Nom du compteur,Identifiant du site de comptage,Nom du site de comptage,Coordonnées géographiques
300021320-353293614,69 Boulevard Ornano N-S,300021320,69 Boulevard Ornano,"48.89683, 2.34521"
300030116-353354957,24 boulevard Jourdan E-O,300030116,24 boulevard Jourdan,"48.82029, 2.33936"
300030120-353354985,9 boulevard Jourdan O-E,300030120,9 boulevard Jourdan,"48.81964, 2.34173"
300030121-353354988,72 boulevard Brune NO-SE,300030121,72 boulevard Brune,"48.82561, 2.314274"
300030139-353355137,56 boulevard Kellermann E-O,300030139,56 boulevard Kellermann,"48.820988, 2.350291"
300030160-353355230,163 boulevard Brune SE-NO,300030160,163 boulevard Brune,"48.824237, 2.321219"
300030163-353355237,27 boulevard Davout N-S,300030163,27 boulevard Davout,"48.84935, 2.41143"
300030172-353355277,42 boulevard Soult S-N,300030172,42 boulevard Soult,"48.840211, 2.409219"
300030172-353355278,42 boulevard Soult N-S,300030172,42 boulevard Soult,"48.840211, 2.409219"
300030173-353355291,77 boulevard Masséna SO-NE,300030173,77 boulevard Masséna,"48.821204, 2.368576"
300030173-353355292,77 boulevard Masséna NE-SO,300030173,77 boulevard Masséna,"48.821204, 2.368576"
300030219-353355786,81 boulevard Mortier N-S,300030219,81 boulevard Mortier,"48.86922, 2.408714"
300030219-353355787,81 boulevard Mortier S-N,300030219,81 boulevard Mortier,"48.86922, 2.408714"
300030250-353355931,98 boulevard Poniatowski SO-NE,300030250,98 boulevard Poniatowski,"48.834624, 2.405283"
300030250-353355932,98 boulevard Poniatowski NE-SO,300030250,98 boulevard Poniatowski,"48.834624, 2.405283"
300030271-353356061,Face au 49 boulevard du Général Martial Valin NO-SE,300030271,Face au 49 boulevard du Général Martial Valin,"48.837055, 2.274019"
300030279-353356112,51 boulevard du Général Martial Valin SE-NO,300030279,51 boulevard du Général Martial Valin,"48.837006, 2.274824"
